text_id,post_text,sentiment_label,predicted_label
TXT_01077,"""Winter Jam coming up November 18th...TOBY MAC JUST ANNOUNCED AS HEADLINER! Only $10 at the door, no advance tickets needed!""",Positive,Neutral
TXT_01085,"""wohooo! RT @user Kung Fu Panda 2 (in 2D & 3D, both with Indonesian subtitles) tentatively scheduled to open on Tues 16 August ^ISK""",Positive,Neutral
TXT_01090,I think Modi government may have diplomatic issue in disclosing black money holders name but it'll be great if he publicly clarifies on this,Neutral,Negative
TXT_01108,"""Floyd Mayweather may be filthy rich, but in the end and in the beginning you are nothing but a white man's bitch.""",Negative,Neutral
TXT_01111,"""First Kim Kardashian tries to break the Internet and now this!The 35-year-old reality star launched her emoji app, Kimoji, on Monday and""",Positive,Neutral
TXT_01124,"@user oh no haha, I meant he can't sign for Milan now, so Spurs may have more of a chance""",Neutral,Negative
TXT_01139,Why do I feel like National Hot Dog Day is the April Fools of food holidays? #wefullydontundertandhowhashtagswork,Negative,Positive
TXT_01146,@user Yeah I\u2019m like\u002c 20 minutes from West Liberty. Text me the name of the stadium tomorrow. I\u2019ll put it in my GPS.,Neutral,Positive
TXT_01147,"""Just tested my Moto G (2nd gen) for the 'StageFright' exploit and it is vulnerable, so I changed to a patched SMS app, and set as default.""",Neutral,Positive
TXT_01186,Finished filling out the FAFSA for this scholarship application. Hopefully it\u2019s processed before November 15\u002c \u2019cause I need it by then.,Positive,Neutral
TXT_01196,Chris Evans Genre Radio Show 07.11.2015 Gothic music and other genres share if you like #goth #alternativemusic,Positive,Negative
TXT_01201,Man\u002c I am going to change my vote based on Axl Rose\u2019s opinion said no one ever.  Politico: C\u2019MON MAN,Neutral,Negative
TXT_01208,I wish Stevie TV was on i\u2019d be laughing right now\u002c well\u002cPandora it is !,Positive,Negative
TXT_01214,so Harper is blaming Del Mar racing another meet for the summer meet's struggle.  Never change California racing.,Negative,Neutral
TXT_01226,@user only because Iron Maiden sat across from us kept looking at me like he wanted to kill me with his awful bare hands.,Negative,Neutral
TXT_01229,"""The 2nd act released onto the FUTURE-ONE line up is the massive ORGAN DONORS! 30th November @ City Nightclub, Falkirk. #Nutcases""",Neutral,Positive
TXT_01234,I just want to sleep and watch Netflix until Friday for Bulldog Bash... Is that so much to ask for?,Neutral,Positive
TXT_01240,Crappity-crap! I'm always away when he comes to town! Paul McCartney to play ACC on Oct. 17,Negative,Positive
TXT_01275,"""Milan must win this game. Doesn't matter how. They must win it. Otherwise, it's back to the Pippo days - being 8th in the league.""",Positive,Negative
TXT_01276,Can't doubt Tom Brady against the Steelers this Thursday!,Positive,Negative
TXT_01298,#Climate - 'cutting it close' : A Warning from Islam by Bill McKibben via @user @user @user @user,Negative,Neutral
TXT_01332,If got a pimple the size of Jupiter\u2019s 12th moon on my forehead! FML!,Negative,Positive
TXT_01344,Reading club dead. I see a trip to Barns &amp; Noble in the near future...as in tomorrow.,Negative,Neutral
TXT_01390,awwww...i miss the 1st batch of Big Brother when I saw Nene...my God its been all ages already! #PBB10years,Neutral,Positive
TXT_01396,@user u ok with the poster for tomorrow?  tea will be provided for you.. can you get to the cafe for about 6pm to sound check? Rosie x,Positive,Neutral
TXT_01409,"Mass Mayor Puts Jindal On Blast - Bobby Jindal may not make the first Republican primary debate, but he has found ...",Neutral,Negative
TXT_01411,Why won\u2019t NBC\u002c CBS\u002c ABC and CNN cover the breaking news in the Benghazi story? Information came out last Tuesday\u002c...,Negative,Neutral
TXT_01429,@user oo nga eh :( may picture sana ako with PREPIX!!!!,Negative,Neutral
TXT_01439,"""And thank you for stopping by, Dustin Johnson. Maybe he just doesn't like Monday mornings.""",Neutral,Positive
TXT_01440,"""14-Aug  The day of independence,  The day of Sacrifices of Muslims, The Victory of Pakistan, I proud to be a...",Neutral,Negative
TXT_01442,"""Too Much Heaven by Bee Gees was the @user magazine Hot 100 No.1 hit on January 13,1979""",Neutral,Positive
TXT_01445,@user he has missed Chiefs\u002c Saints and Vikings it was a 4 game sus and this game at Oak would be his 4th he can play Nov 11th,Neutral,Positive
TXT_01446,@user If you are the same age as Mick Jagger than may I say you,Neutral,Negative
TXT_01474,the only thing that i am afraid of if bernie sanders is president he may die in office,Neutral,Negative
TXT_01477,A very good maxim - one that Boko Haram had the privilege to enjoy during the Jonathan Administration &amp; may still!,Positive,Negative
TXT_01479,"#day #God #known #Sunday #week Question and Answer #prayer #church""",Neutral,Positive
TXT_01495,LAKERS NOTEBOOK: Nash listed as doubtful for showdown with Clippers: Steve Nash and Kobe Bryant sat out ... #lakers,Negative,Neutral
TXT_01501,I guess I should\u2019ve been out giving out books last night for World Book Day. Instead I sat in large dark room watching the Avengers assemble,Negative,Neutral
TXT_01508,So Carly Fiorina is going to crash and burn. @user  #WakeUpAmerica ....NEXT...,Negative,Positive
TXT_01516,This is aimed @ David Cameron - fight me. Meet me behind the bike sheds tomorrow @ 3pm sharp. B there or b square,Negative,Positive
TXT_01539,explosive resistant passports!!! Charlie Hebdo shootings left ID card in the car. 9/11 plane hijacker's passports found. Paris c'mon.,Negative,Neutral
TXT_01543,This is aimed @ David Cameron - fight me. Meet me behind the bike sheds tomorrow @ 3pm sharp. B there or b square,Negative,Positive
TXT_01551,"The Great New York State Fair starts on August 27 and opens with concerts by Everclear, Eric Church and Rick...",Neutral,Positive
TXT_01556,"""Rodgers: """"""""I've read we sent dossiers to the FA on Sterling/Sturridge &amp; having showdown talks with Hodgson on Sunday &amp; all sorts of rubbish""""""""""",Negative,Neutral
TXT_01559,Parents in Zurich and going to Pride Parade tomorrow. I'm jealous :),Neutral,Positive
TXT_01577,Who else thinks that the \u2019Little Things\u2019 video that premieres November 2nd is gonna beat Justin Biebers record?,Neutral,Positive
TXT_01597,On this day in 2001 we lost George Harrison. November 29th 2001. #GeorgeHarrison #WhileMyGuitarGentlyWeeps,Neutral,Positive
TXT_01602,"""A random homeless guy was married you, Justin Bieber may perhaps at this pointed invitation was not in nature.""",Neutral,Negative
TXT_01620,"@user @user 1st time GD oppa praised VIPs in public,1st time other countries VIP jealous with M'sia VIP..and many many more...""",Positive,Neutral
TXT_01662,Chief Justice of India says he will constitute a bench to hear tomorrow Yakub's plea against death warrant @user @user,Neutral,Negative
TXT_01669,Up to the 4th episode of True Blood 2nd season.  It gets better & better.,Positive,Negative
TXT_01678,"""Just won a pair of @user  &amp; @user tickets for Ventura tomorrow , anyone want the extra tix?""",Positive,Neutral
TXT_01694,I NEED to see Justin tomorrow at the today show but I can't skip class :(,Negative,Positive
TXT_01703,Scott Walker repeatedly avoided whether he would deport children born in the USA. Maybe didn't get to the 14th Amendment b4 he quit college.,Neutral,Negative
TXT_01708,@user Boko Haram fighters slit the throats of 10 fishermen in Africa on Thursday; no mention from you.  Jericho OK though so happy days,Negative,Positive
TXT_01709,You are out of luck if you want to go to the BNP Paribas Open on Saturday as tickets are not available. Same for Sunday day session #bnppo12,Negative,Neutral
TXT_01725,"""Undertaker may, in fact, be killed tonight by Brock Lesnar. #SummerSlam""",Negative,Positive
TXT_01729,"@user &amp; what if by g eazy, and  black Friday by Kendrick, and dark time the weeknd""",Positive,Neutral
TXT_01732,Won two tickets to the White Sox game at a raffle . . . 2nd place was four tickets.,Positive,Neutral
TXT_01745,Is there really any point in Dustin Johnson playing the 4th round of a major?,Neutral,Negative
TXT_01777,"""Yakub's role in '93 March serial  blasts is repeated, but very little is said about those who organized 92 December, 93 January Mumbai riots""",Neutral,Negative
TXT_01781,Our First FREE Yoga class at ElleWell is this Tuesday at 7:15pm with the lovely Julie Reynolds.  Register online...,Neutral,Positive
TXT_01827,David Wright went 3-for-4 and played full game at third base for St. Lucie tonight. Due to be activated Monday.,Neutral,Positive
TXT_01864,Take the 1st step in faith. You dont have to see the whole staircase\u002c just take the 1st step. ~Dr. Martin Luther King Jr. #quote,Positive,Neutral
TXT_01879,"To quote Seinfeld's Kramer, Monday has a feel; Wed has a feel, and FRIDAY has a feel. Here's to feeling the first Friday of the school year!",Positive,Neutral
TXT_01882,@user @user nirvana may be the face of grunge but they didn't create it. Df may have many hands in but they aint 90% responsible,Neutral,Negative
TXT_01889,Most annoying twat ever! But she brought Dunkin so I may just talk to her today...,Negative,Positive
TXT_01905,I hope the Steelers CRUSH Tom Brady on Thursday. Damn cheater.,Negative,Neutral
TXT_01920,"""FIRE IN THE ASHES: 25 Years Among the Poorest Children in America by Jonathan Kozol comes out Tues, avail for pre-order""",Neutral,Negative
TXT_01937,Its done! My brother just got married...we turnin up at jett lounge tonight and at grannys house tomorrow,Neutral,Positive
TXT_01946,First Lady Michelle Obama is a elegant and classy 1st Lady who presence touch the heart of us all #LoveMyPresident&amp;FirstLady @user,Positive,Negative
TXT_01962,I'm gonna watch Nicki's opening tonight then watch the rest tomorrow,Neutral,Positive
TXT_01966,If you missed it\u002c Secret Rebel Base celebrate May 4th by celebrating Ralph McQuarrie: #starwars #may4thbewithyou,Positive,Negative
TXT_01988,The fact I probably won't see them again before march makes me want to cry #MTVStars The Vamps,Negative,Positive
TXT_02018,Am I the only one who doesn't care that Floyd Mayweather is fighting again on September 12th against Andre Berto....,Negative,Neutral
TXT_02024,@user @user will be presenting on the 4th I will come we talk about some stuff,Positive,Neutral
TXT_02031,@user @user @user it may have not been the best idea to name our Mascot the Beaver...still better than Ducks,Neutral,Negative
TXT_02043,"@user @user Ben Affleck is in EL cuz the students wanted him to be the """"""""surprise"""""""" guest at the Izzone campout tomorrow!""",Positive,Neutral
TXT_02093,"""lol, all the people on the facebook live chat on Rock im Park are real idiot's. i explain them that Evanscence have performed on friday...""",Negative,Positive
TXT_02102,only my cousin would get to go to kenny chesney and jason aldean twice lol see you friday @user,Positive,Neutral
TXT_02103,@user my dad and I are going to Raleigh Saturday if you wanna go,Neutral,Positive
TXT_02150,@user Today is not the death day of APJ Abdul Kalam's. He passed away on 27th. today is his janaja. its only Yakub's death day today.,Neutral,Negative
TXT_02156,Men\u2019s latest bedroom worry: \u201950 Shades\u2019: E L James\u2019 \u2019Fifty Shades of Grey\u2019 may be supercharging the sex-drives o...,Negative,Neutral
TXT_02159,I had a dream Aaron Samuels wasn't happy it was October 3rd.....,Neutral,Positive
TXT_02178,"""awww man, Great Yorkshire Show has got cancelled. @user what are we going to do tomorrow now?""",Negative,Positive
TXT_02198,Did you know that 'Ryan Braun' was Trending Topic on Monday 17 for 4 hours in Milwaukee? #trndnl,Neutral,Positive
TXT_02204,Pray for a better day tomorrow. Maybe we will wake up and #Obama and #Extremist Muslims will be gone! #CCOT #TCOT,Neutral,Negative
TXT_02208,I may have just dropped two letter grades of intelligence after listening to that Kanye West rant...,Negative,Neutral
TXT_02213,Heading home to Ireland with 17 golfers from my club on Saturday staying at lough Erne resort and off to Dublin for some fun,Positive,Neutral
TXT_02223,Just witnessed the 1st ever black king of Endymion,Neutral,Negative
TXT_02236,@user People tweet a lot about Svengoolie on Saturday. It seems a lot like that with Sharknado!,Positive,Neutral
TXT_02239,"""I think Mr. """"Mookie"""" may be confusing Muslims with Vampires #tytlive""",Neutral,Negative
TXT_02250,WHEN I THINK OF YOU by JANET JACKSON was no.15 in the UK charts on 1 September 1986,Neutral,Positive
TXT_02267,Selling 2 upper box tickets for the Sam Smith show this November. Hit me up if anyone's interested.,Positive,Neutral
TXT_02285,#NW Red Tails for the 1st time!!!,Positive,Neutral
TXT_02300,"""As of Monday the 22nd, we will have 15% off all compatible/ generic HP, Panasonic, Lanier, and Kyocera cartridges at",Neutral,Positive
TXT_02303,@user madam sorry to say it is compulsion in Islam please read Holy Quran for guidance May Allah show the right path ameen,Neutral,Negative
TXT_02326,see that dustin johnson is a co-leader right now. will take him serious if he is in top 3 on the final 9 sunday #pgachampionship,Positive,Neutral
TXT_02336,Most annoying twat ever! But she brought Dunkin so I may just talk to her today...,Negative,Positive
TXT_02360,Frank Ocean album supposed to drop tomorrow.... Let's hope it's true,Positive,Neutral
TXT_02364,"""\""""@FactsAboutMitt: @user falsely claimed he saw his father march with Martin Luther King Jr.  #Facts #Truth""",Negative,Neutral
TXT_02370,"Let me know which games u want me to stream? KZ Sf, COD Ghosts or AW, I am Bread, Minecraft, Devil may cry, DCUO, Warframe? #PlayStation",Neutral,Positive
TXT_02375,depending how late we work tomorrow it'll be a nightmare getting back into WeHo from Downtown with SMB shut down for the Halloween Carnival,Negative,Positive
TXT_02384,I'm just gonna Netflix and chill tomorrow again,Positive,Negative
TXT_02386,All the talk will be about Nicki and Miley tomorrow. Nothing else has been talk worthy. #VMAs,Neutral,Negative
TXT_02412,@user the Kendrick album may be the most overrated album of all time. It's a good album but very little replay value,Neutral,Positive
TXT_02414,"@user While you continue to beat a dead horse, Tom Brady is starting on Thursday night.""",Neutral,Positive
TXT_02445,@user She may be my favorite Libertarian writer right now. Her response to the Planned Parenthood controversy was on POINT.,Positive,Negative
TXT_02446,Guys will think twice about bringing their familiesGiants owner said Cowboys will get disease fir,Negative,Neutral
TXT_02450,"""And thank you for stopping by, Dustin Johnson. Maybe he just doesn't like Monday mornings.""",Neutral,Positive
TXT_02453,"""DTN Pakistan: Eid frenzy finally over: Islamabad Though the official Eid holidays were over on last Wednesday,...",Positive,Neutral
TXT_02486,@user LMFAO his big ass get on my nerves\u002c you going to class tomorrow?,Negative,Neutral
TXT_02491,Frank ocean is like Monday and the weeknd is like Friday nobody wants Monday's. @user,Negative,Neutral
TXT_02492,NBA playoffs TODAY!!!!!! the Heat Vs Knicks  series is going to be crazy! luckily #celticnation don\u2019t play till sunday LETS GO CELTICS!!!!,Positive,Negative
TXT_02502,@user oo nga eh :( may picture sana ako with PREPIX!!!!,Negative,Neutral
TXT_02526,@user F3 bro from @user is cooking in the FiddleNPig shindig BBQ peoples choice comp w/Holy Smoke team Sat in Ft Mill Google it,Neutral,Positive
TXT_02529,"Mook, Podesta are blowing Hillary's 2nd crack at WH. Making the same huge mistakes as 08. Need to let HRC loose. Too inaccessible to staff",Neutral,Negative
TXT_02533,The Guardian view on the BBC plans: nice ideas but much to prove | Editorial via @user,Positive,Neutral
TXT_02537,Playing Kendrick's Black Friday in the sauna to sweat more,Positive,Neutral
TXT_02555,Go to the AHS football game tomorrow to buy Halloween fun run tickets,Neutral,Positive
TXT_02563,Guest teaching  Super Saturday with Kris Gordon rocked! (@ Wisconsin Athletic Club),Positive,Neutral
TXT_02570,"""Rodgers just confirmed that both Allen and Can are fit, and will be back in the squad for Sunday's trip to QPR. #LFC""",Positive,Neutral
TXT_02574,"""Blog: Jets, Giants have extensive radio networks - So it's a Sunday afternoon, and your wife is adamant about draggi...",Neutral,Positive
TXT_02582,"Reparations should be made, but c'mon Donald Trump is the LAST candidate to support if you want them.",Positive,Neutral
TXT_02599,My soup just blew up in the microwave and exploded everywhere. So far today has been a bigger bitch than Madonna is to hydrangeas.,Negative,Positive
TXT_02612,Gonna be at SM Sta. Rosa today 4pm with Krissy & October 17 with Jasmine Curtis\u002c Khalil Ramos & Enrique Gil @ MOA See youuuu,Positive,Neutral
TXT_02617,"@user now, if Drake is a ghostwritten pawn, as insinuated, it may have come after he was dope a la Snoop Dogg. This may be overblown.",Neutral,Negative
TXT_02664,We may see negative poll Numbers for most of the republican candidates by nov.. -11 Ted cruz -5 Scott walker -1 Jeb bush  LOL #MeetThePress,Neutral,Negative
TXT_02693,Definitely should\u2019ve cast someone other than @user to play Drew Peterson...I wanted to be his 5th wife by the end of the movie. :/ #sexy,Neutral,Negative
TXT_02730,Starting off my sunday with Resident evil operation raccoon city,Neutral,Positive
TXT_02732,@user Jaa ik mag\u002c maareh kan je zaterdag stad? want heb die H&M card nog en die is t/m 29 april geldig X,Neutral,Negative
TXT_02762,why? I really hope nintendo PAYS ATTENTION TO IT. but I do apologize in advance cause it's going to be annoying and I may loose followers,Neutral,Negative
TXT_02793,"""Our Cameroun horror, by Boko Haram returnees  On August 3, Cameroonian authorities began the repatriation...",Negative,Neutral
TXT_02821,The only time it is okay to discriminate towards Christians is with handing out presents on 25th December.  #refugeescrisis #auspol,Positive,Neutral
TXT_02836,When you have to wait 15 for a table on a Friday morning at IHOP,Negative,Positive
TXT_02860,@user 4th is just great bc it's like St Pattys just MERICA #canttouchthis,Positive,Negative
TXT_02866,Federer Back For 16th US Open: Federer hopes his US Open first-round encounter against the Argentine goes much...,Positive,Neutral
TXT_02878,"""Maryam Institute invites you to a special workshop on """"LOVE TO STAY: Marriage in Islam"""" THIS Saturday inshaAllah...",Positive,Neutral
TXT_02882,Ravens sign Ricky Williams ohhhhh leeeeee dueeetttttt #blackbirdgang...they bout to smokeout the locker room tonight,Positive,Neutral
TXT_02893,"""Wow, walk off win for the Cubs.....Kris Bryant HR with 2 outs in the bottom of the 9th inning""",Positive,Neutral
TXT_02909,@user I'm thinking the same thing. They may try it like they did UCLA.,Neutral,Negative
TXT_02942,"""Jersey Friday, Danny elfman, does it get any better? @user @user",Positive,Negative
TXT_02947,"""Sibling-wed Game with Scott and Chris Evans, Part 2 La risa de Chris me dio risa, basta.""",Positive,Negative
TXT_02951,Tennessee 7th graders assignment: Write &amp; Recite 'Allah is the only god' in 3 week focus on Islam in history class,Neutral,Positive
TXT_02955,What the federal Judge fails to see that the #KimDavis name is on the form for Gay marriage that makes it a #1st She does not have to comply,Neutral,Negative
